,size,prob,trial,result
0,2000,0.01,0,4.0
1,2000,0.01,1,3.0
2,2000,0.01,2,4.0
3,2000,0.01,3,3.0
4,2000,0.01,4,3.0
5,2000,0.01,5,4.0
6,2000,0.01,6,3.0
7,2000,0.01,7,4.0
8,2000,0.01,8,3.0
9,2000,0.01,9,4.0
10,2000,0.01,10,4.0
11,2000,0.01,11,4.0
12,2000,0.01,12,3.0
13,2000,0.01,13,3.0
14,2000,0.01,14,3.0
15,2000,0.01,15,4.0
16,2000,0.01,16,3.0
17,2000,0.01,17,3.0
18,2000,0.01,18,4.0
19,2000,0.01,19,3.0
20,2000,0.01,20,4.0
21,2000,0.01,21,4.0
22,2000,0.01,22,4.0
23,2000,0.01,23,3.0
24,2000,0.01,24,3.0
25,2000,0.01,25,3.0
26,2000,0.01,26,4.0
27,2000,0.01,27,4.0
28,2000,0.01,28,3.0
29,2000,0.01,29,3.0
30,2000,0.01,30,4.0
31,2000,0.01,31,3.0
32,2000,0.01,32,4.0
33,2000,0.01,33,3.0
34,2000,0.01,34,4.0
35,2000,0.01,35,4.0
36,2000,0.01,36,4.0
37,2000,0.01,37,3.0
38,2000,0.01,38,3.0
39,2000,0.01,39,4.0
40,2000,0.01,40,4.0
41,2000,0.01,41,3.0
42,2000,0.01,42,4.0
43,2000,0.01,43,4.0
44,2000,0.01,44,3.0
45,2000,0.01,45,3.0
46,2000,0.01,46,4.0
47,2000,0.01,47,3.0
48,2000,0.01,48,3.0
49,2000,0.01,49,4.0
50,2000,0.01,50,4.0
51,2000,0.01,51,4.0
52,2000,0.01,52,4.0
53,2000,0.01,53,3.0
54,2000,0.01,54,4.0
55,2000,0.01,55,4.0
56,2000,0.01,56,3.0
57,2000,0.01,57,4.0
58,2000,0.01,58,3.0
59,2000,0.01,59,3.0
60,2000,0.01,60,3.0
61,2000,0.01,61,4.0
62,2000,0.01,62,4.0
63,2000,0.01,63,3.0
64,2000,0.01,64,4.0
65,2000,0.01,65,4.0
66,2000,0.01,66,4.0
67,2000,0.01,67,3.0
68,2000,0.01,68,4.0
69,2000,0.01,69,3.0
70,2000,0.01,70,4.0
71,2000,0.01,71,3.0
72,2000,0.01,72,4.0
73,2000,0.01,73,4.0
74,2000,0.01,74,3.0
75,2000,0.01,75,3.0
76,2000,0.01,76,4.0
77,2000,0.01,77,3.0
78,2000,0.01,78,3.0
79,2000,0.01,79,4.0
80,2000,0.01,80,3.0
81,2000,0.01,81,3.0
82,2000,0.01,82,4.0
83,2000,0.01,83,3.0
84,2000,0.01,84,4.0
85,2000,0.01,85,4.0
86,2000,0.01,86,4.0
87,2000,0.01,87,3.0
88,2000,0.01,88,3.0
89,2000,0.01,89,4.0
90,2000,0.01,90,3.0
91,2000,0.01,91,3.0
92,2000,0.01,92,3.0
93,2000,0.01,93,4.0
94,2000,0.01,94,3.0
95,2000,0.01,95,3.0
96,2000,0.01,96,3.0
97,2000,0.01,97,4.0
98,2000,0.01,98,4.0
99,2000,0.01,99,3.0
100,2000,0.02,0,5.0
101,2000,0.02,1,5.0
102,2000,0.02,2,5.0
103,2000,0.02,3,4.0
104,2000,0.02,4,5.0
105,2000,0.02,5,5.0
106,2000,0.02,6,5.0
107,2000,0.02,7,5.0
108,2000,0.02,8,4.0
109,2000,0.02,9,5.0
110,2000,0.02,10,4.0
111,2000,0.02,11,5.0
112,2000,0.02,12,5.0
113,2000,0.02,13,6.0
114,2000,0.02,14,4.0
115,2000,0.02,15,5.0
116,2000,0.02,16,5.0
117,2000,0.02,17,4.0
118,2000,0.02,18,4.0
119,2000,0.02,19,5.0
120,2000,0.02,20,5.0
121,2000,0.02,21,5.0
122,2000,0.02,22,4.0
123,2000,0.02,23,5.0
124,2000,0.02,24,5.0
125,2000,0.02,25,4.0
126,2000,0.02,26,4.0
127,2000,0.02,27,5.0
128,2000,0.02,28,5.0
129,2000,0.02,29,4.0
130,2000,0.02,30,4.0
131,2000,0.02,31,5.0
132,2000,0.02,32,5.0
133,2000,0.02,33,5.0
134,2000,0.02,34,4.0
135,2000,0.02,35,4.0
136,2000,0.02,36,4.0
137,2000,0.02,37,4.0
138,2000,0.02,38,5.0
139,2000,0.02,39,4.0
140,2000,0.02,40,5.0
141,2000,0.02,41,4.0
142,2000,0.02,42,5.0
143,2000,0.02,43,5.0
144,2000,0.02,44,4.0
145,2000,0.02,45,5.0
146,2000,0.02,46,6.0
147,2000,0.02,47,5.0
148,2000,0.02,48,5.0
149,2000,0.02,49,4.0
150,2000,0.02,50,4.0
151,2000,0.02,51,6.0
152,2000,0.02,52,4.0
153,2000,0.02,53,4.0
154,2000,0.02,54,5.0
155,2000,0.02,55,4.0
156,2000,0.02,56,5.0
157,2000,0.02,57,5.0
158,2000,0.02,58,5.0
159,2000,0.02,59,5.0
160,2000,0.02,60,5.0
161,2000,0.02,61,4.0
162,2000,0.02,62,6.0
163,2000,0.02,63,5.0
164,2000,0.02,64,4.0
165,2000,0.02,65,4.0
166,2000,0.02,66,4.0
167,2000,0.02,67,5.0
168,2000,0.02,68,5.0
169,2000,0.02,69,4.0
170,2000,0.02,70,4.0
171,2000,0.02,71,4.0
172,2000,0.02,72,4.0
173,2000,0.02,73,6.0
174,2000,0.02,74,5.0
175,2000,0.02,75,4.0
176,2000,0.02,76,5.0
177,2000,0.02,77,5.0
178,2000,0.02,78,4.0
179,2000,0.02,79,4.0
180,2000,0.02,80,6.0
181,2000,0.02,81,5.0
182,2000,0.02,82,5.0
183,2000,0.02,83,4.0
184,2000,0.02,84,5.0
185,2000,0.02,85,4.0
186,2000,0.02,86,4.0
187,2000,0.02,87,4.0
188,2000,0.02,88,4.0
189,2000,0.02,89,5.0
190,2000,0.02,90,5.0
191,2000,0.02,91,5.0
192,2000,0.02,92,6.0
193,2000,0.02,93,5.0
194,2000,0.02,94,4.0
195,2000,0.02,95,4.0
196,2000,0.02,96,5.0
197,2000,0.02,97,5.0
198,2000,0.02,98,5.0
199,2000,0.02,99,5.0
200,2000,0.03,0,5.0
201,2000,0.03,1,6.0
202,2000,0.03,2,6.0
203,2000,0.03,3,5.0
204,2000,0.03,4,5.0
205,2000,0.03,5,6.0
206,2000,0.03,6,6.0
207,2000,0.03,7,6.0
208,2000,0.03,8,5.0
209,2000,0.03,9,6.0
210,2000,0.03,10,6.0
211,2000,0.03,11,5.0
212,2000,0.03,12,6.0
213,2000,0.03,13,6.0
214,2000,0.03,14,5.0
215,2000,0.03,15,6.0
216,2000,0.03,16,5.0
217,2000,0.03,17,5.0
218,2000,0.03,18,5.0
219,2000,0.03,19,5.0
220,2000,0.03,20,6.0
221,2000,0.03,21,5.0
222,2000,0.03,22,5.0
223,2000,0.03,23,7.0
224,2000,0.03,24,6.0
225,2000,0.03,25,6.0
226,2000,0.03,26,5.0
227,2000,0.03,27,5.0
228,2000,0.03,28,6.0
229,2000,0.03,29,5.0
230,2000,0.03,30,5.0
231,2000,0.03,31,5.0
232,2000,0.03,32,5.0
233,2000,0.03,33,5.0
234,2000,0.03,34,5.0
235,2000,0.03,35,5.0
236,2000,0.03,36,6.0
237,2000,0.03,37,6.0
238,2000,0.03,38,5.0
239,2000,0.03,39,5.0
240,2000,0.03,40,5.0
241,2000,0.03,41,5.0
242,2000,0.03,42,5.0
243,2000,0.03,43,6.0
244,2000,0.03,44,5.0
245,2000,0.03,45,5.0
246,2000,0.03,46,5.0
247,2000,0.03,47,5.0
248,2000,0.03,48,6.0
249,2000,0.03,49,6.0
250,2000,0.03,50,5.0
251,2000,0.03,51,5.0
252,2000,0.03,52,5.0
253,2000,0.03,53,5.0
254,2000,0.03,54,6.0
255,2000,0.03,55,5.0
256,2000,0.03,56,5.0
257,2000,0.03,57,6.0
258,2000,0.03,58,5.0
259,2000,0.03,59,5.0
260,2000,0.03,60,5.0
261,2000,0.03,61,6.0
262,2000,0.03,62,5.0
263,2000,0.03,63,5.0
264,2000,0.03,64,5.0
265,2000,0.03,65,5.0
266,2000,0.03,66,5.0
267,2000,0.03,67,6.0
268,2000,0.03,68,6.0
269,2000,0.03,69,6.0
270,2000,0.03,70,6.0
271,2000,0.03,71,5.0
272,2000,0.03,72,5.0
273,2000,0.03,73,6.0
274,2000,0.03,74,5.0
275,2000,0.03,75,6.0
276,2000,0.03,76,5.0
277,2000,0.03,77,5.0
278,2000,0.03,78,6.0
279,2000,0.03,79,5.0
280,2000,0.03,80,6.0
281,2000,0.03,81,7.0
282,2000,0.03,82,5.0
283,2000,0.03,83,6.0
284,2000,0.03,84,5.0
285,2000,0.03,85,6.0
286,2000,0.03,86,5.0
287,2000,0.03,87,5.0
288,2000,0.03,88,6.0
289,2000,0.03,89,6.0
290,2000,0.03,90,6.0
291,2000,0.03,91,6.0
292,2000,0.03,92,5.0
293,2000,0.03,93,5.0
294,2000,0.03,94,5.0
295,2000,0.03,95,5.0
296,2000,0.03,96,5.0
297,2000,0.03,97,5.0
298,2000,0.03,98,6.0
299,2000,0.03,99,6.0
300,2000,0.04,0,7.0
301,2000,0.04,1,6.0
302,2000,0.04,2,6.0
303,2000,0.04,3,7.0
304,2000,0.04,4,7.0
305,2000,0.04,5,5.0
306,2000,0.04,6,6.0
307,2000,0.04,7,6.0
308,2000,0.04,8,6.0
309,2000,0.04,9,6.0
310,2000,0.04,10,6.0
311,2000,0.04,11,6.0
312,2000,0.04,12,6.0
313,2000,0.04,13,7.0
314,2000,0.04,14,7.0
315,2000,0.04,15,7.0
316,2000,0.04,16,7.0
317,2000,0.04,17,7.0
318,2000,0.04,18,6.0
319,2000,0.04,19,6.0
320,2000,0.04,20,5.0
321,2000,0.04,21,7.0
322,2000,0.04,22,8.0
323,2000,0.04,23,6.0
324,2000,0.04,24,6.0
325,2000,0.04,25,6.0
326,2000,0.04,26,6.0
327,2000,0.04,27,6.0
328,2000,0.04,28,6.0
329,2000,0.04,29,6.0
330,2000,0.04,30,6.0
331,2000,0.04,31,9.0
332,2000,0.04,32,6.0
333,2000,0.04,33,8.0
334,2000,0.04,34,7.0
335,2000,0.04,35,9.0
336,2000,0.04,36,6.0
337,2000,0.04,37,8.0
338,2000,0.04,38,6.0
339,2000,0.04,39,6.0
340,2000,0.04,40,7.0
341,2000,0.04,41,8.0
342,2000,0.04,42,7.0
343,2000,0.04,43,7.0
344,2000,0.04,44,7.0
345,2000,0.04,45,6.0
346,2000,0.04,46,6.0
347,2000,0.04,47,6.0
348,2000,0.04,48,6.0
349,2000,0.04,49,6.0
350,2000,0.04,50,6.0
351,2000,0.04,51,5.0
352,2000,0.04,52,8.0
