n_samples,idx,maxes
10,1,17769
10,2,84
10,3,31
10,4,7
10,5,18271
10,6,8845
10,7,114
10,8,7
10,9,85097
10,10,3526
10,11,217
10,12,64
10,13,237
10,14,106
10,15,1994
10,16,141
10,17,509
10,18,67
10,19,932
10,20,177
10,21,82
10,22,34
10,23,89
10,24,132
10,25,146
10,26,6150
10,27,13
10,28,1773
10,29,152
10,30,12403
10,31,60
10,32,342
10,33,2591
10,34,30
10,35,70
10,36,5264
10,37,45
10,38,54
10,39,62
10,40,731
10,41,7489
10,42,11
10,43,406
10,44,21
10,45,94
10,46,2225
10,47,876
10,48,249
10,49,179
10,50,98
10,51,70
10,52,182722
10,53,263
10,54,16
10,55,66
10,56,1094075
10,57,35
10,58,11
10,59,9856
10,60,342
10,61,2168
10,62,12
10,63,20
10,64,659
10,65,38
10,66,628
10,67,106
10,68,95
10,69,9556
10,70,180
10,71,145
10,72,97
10,73,50
10,74,4352
10,75,382
10,76,5968
10,77,20388
10,78,1682
10,79,52
10,80,235
10,81,6159
10,82,35
10,83,226
10,84,89
10,85,31
10,86,1645
10,87,18216
10,88,638
10,89,5664
10,90,202
10,91,62
10,92,12
10,93,7
10,94,3188
10,95,2036
10,96,89
10,97,125
10,98,46
10,99,201
10,100,32
10,101,1202
10,102,30088
10,103,11446
10,104,4537
10,105,31
10,106,83
10,107,1177
10,108,124
10,109,4834
10,110,7
10,111,2481
10,112,164
10,113,24344
10,114,106516
10,115,45
10,116,17
10,117,106
10,118,679
10,119,1586
10,120,33
10,121,2536
10,122,1692
10,123,42
10,124,8673
10,125,68
10,126,21
10,127,104
10,128,393765
10,129,242
10,130,506
10,131,33
10,132,211
10,133,6247
10,134,26
10,135,1004
10,136,1181
10,137,339
10,138,6799
10,139,756
10,140,23
10,141,599
10,142,74
10,143,18
10,144,122
10,145,37
10,146,9500
10,147,93
10,148,578
10,149,2169
10,150,14
10,151,1577
10,152,5139
10,153,33
10,154,116
10,155,9
10,156,622
10,157,16
10,158,13
10,159,786
10,160,287
10,161,123
10,162,57
10,163,56
10,164,1077
10,165,26
10,166,112806
10,167,113
10,168,22
10,169,55
10,170,2785
10,171,195
10,172,3661
10,173,43
10,174,218
10,175,33
10,176,63
10,177,829
10,178,107
10,179,245520
10,180,73
10,181,15715
10,182,20128
10,183,1317
10,184,155
10,185,453
10,186,3583
10,187,21
10,188,220158
10,189,303
10,190,57
10,191,4683
10,192,225
10,193,92
10,194,65732
10,195,1901
10,196,346
10,197,303
10,198,62
10,199,147
10,200,735
10,201,43611
10,202,506
10,203,23
10,204,112
10,205,49
10,206,51
10,207,198
10,208,47
10,209,1418
10,210,850
10,211,72
10,212,44
10,213,36
10,214,44
10,215,14
10,216,91664
10,217,104
10,218,176
10,219,37929
10,220,48
10,221,2354
10,222,401
10,223,14
10,224,25
10,225,4395
10,226,436
10,227,770
10,228,97
10,229,236
10,230,64
10,231,1352
10,232,14
10,233,31
10,234,52
10,235,2171
10,236,313
10,237,15106
10,238,189
10,239,532
10,240,43
10,241,74
10,242,39
10,243,169
10,244,662
10,245,17
10,246,117
10,247,61
10,248,474
10,249,319
10,250,19
10,251,9
10,252,212
10,253,380
10,254,422
10,255,502
10,256,149
10,257,320
10,258,9
10,259,459
10,260,203
10,261,1170
10,262,213
10,263,543
10,264,141
10,265,547
10,266,224
10,267,93
10,268,167110
10,269,114
10,270,10
10,271,24685
10,272,129
10,273,234
10,274,2243
10,275,36
10,276,853
10,277,1952
10,278,27
10,279,64
10,280,22
10,281,7814
10,282,467
10,283,162
10,284,162
10,285,633
10,286,79
10,287,217642
10,288,36
10,289,430
10,290,896
10,291,121
10,292,143
10,293,41078
10,294,123
10,295,207
10,296,352
10,297,5241
10,298,228
10,299,232
10,300,45
10,301,3365
10,302,23
10,303,52
10,304,216
10,305,39
10,306,163
10,307,252
10,308,76
10,309,924
10,310,11
10,311,1381
10,312,801164
10,313,101
10,314,439
10,315,145
10,316,89
10,317,22
10,318,1346
10,319,1116
10,320,2717
10,321,353
10,322,12174
10,323,65
10,324,218
10,325,256
10,326,9912
10,327,488
10,328,499
10,329,176345
10,330,51
10,331,176
10,332,48
10,333,466
10,334,264
10,335,19
10,336,116
10,337,6415
10,338,5510
10,339,155
10,340,187
10,341,803
10,342,497
10,343,242
10,344,695
10,345,586
10,346,7
10,347,170
10,348,23
10,349,23
10,350,365
10,351,57
10,352,416
10,353,7
10,354,19
10,355,801
10,356,4503
10,357,2267
10,358,189
10,359,7
10,360,645
10,361,49
10,362,117
10,363,1444
10,364,2395
10,365,51
10,366,20
10,367,47
10,368,1701
10,369,27
10,370,4342
10,371,84
10,372,57
10,373,64
10,374,485
10,375,54
10,376,132
10,377,84
10,378,2479
10,379,1005
10,380,2629
10,381,4428
10,382,763
10,383,111
10,384,63
10,385,256
10,386,82
10,387,65
10,388,781
10,389,24
10,390,243
10,391,2282
10,392,44
10,393,18
10,394,1428
10,395,57
10,396,1080
10,397,24
10,398,55
10,399,1380
10,400,17063
10,401,44
10,402,302
10,403,172
10,404,84
10,405,49
10,406,198
10,407,1261
10,408,195
10,409,1552
10,410,8581
10,411,13
10,412,165
10,413,186
10,414,27
10,415,4454
10,416,509
10,417,5209
10,418,11
10,419,1532
10,420,63
10,421,148
10,422,22
10,423,50029
10,424,442240
10,425,981
10,426,41697
10,427,373
10,428,29
10,429,1990
10,430,15651
10,431,32
10,432,6
10,433,140
10,434,314450
10,435,515
10,436,64
10,437,1765
10,438,228
10,439,57
10,440,13
10,441,9387
10,442,69
10,443,26
10,444,6117
10,445,53
10,446,16
10,447,636
10,448,37
10,449,12388
10,450,53
10,451,14
10,452,38
10,453,259
10,454,130
10,455,7
10,456,683
10,457,19063
10,458,37
10,459,105
10,460,227
10,461,42
10,462,47914
10,463,1158
10,464,20492
10,465,6565
10,466,148
10,467,824
10,468,9
10,469,1901
10,470,4058
10,471,1903
10,472,14
10,473,2801
10,474,41
10,475,109
10,476,1652
10,477,2006
10,478,130
10,479,6
10,480,27443
10,481,284
10,482,98
10,483,12100
10,484,60149
10,485,177
10,486,365
10,487,343
10,488,9215
10,489,1509
10,490,145
10,491,175
10,492,172
10,493,112
10,494,83
10,495,12
10,496,81
10,497,73
10,498,1654
10,499,24
10,500,183227
10,501,168
10,502,957
10,503,76
10,504,21
10,505,59
10,506,2249
10,507,54
10,508,40
10,509,86
10,510,751
10,511,38
10,512,170
10,513,333
10,514,131
10,515,249
10,516,1717
10,517,41
10,518,36
10,519,257
10,520,432
10,521,14745
10,522,1296
10,523,179
10,524,27
10,525,371
10,526,1411
10,527,103
10,528,19
10,529,932
10,530,267
10,531,84
10,532,33
10,533,81
10,534,13
10,535,12905
10,536,69
10,537,50
10,538,25
10,539,1739
10,540,1908
10,541,114
10,542,380
10,543,21
10,544,403
10,545,19
10,546,191679
10,547,518
10,548,553
10,549,48
10,550,569
10,551,22
10,552,6448
10,553,5046
10,554,3062
10,555,318
10,556,21
10,557,22
10,558,1385
10,559,572
10,560,33273
10,561,1478
10,562,315
10,563,80
10,564,54
10,565,62
10,566,31
10,567,192616
10,568,3389
10,569,47
10,570,73
10,571,264
10,572,30847
10,573,608
10,574,22769761
10,575,67
10,576,15
10,577,206
10,578,209
10,579,54
10,580,292
10,581,20473
10,582,1685
10,583,172
10,584,1396
10,585,1995
10,586,67
10,587,124
10,588,123
10,589,14
10,590,556
10,591,198
10,592,156
10,593,27300
10,594,1658
10,595,414
10,596,19
10,597,3527
10,598,259
10,599,36131
10,600,29486
10,601,103
10,602,2306
10,603,1016
10,604,482
10,605,1587
10,606,856
10,607,103731
10,608,119382
10,609,554
10,610,15008
10,611,3108
10,612,260
10,613,220
10,614,3246
10,615,1853
10,616,130
10,617,931
10,618,2101
10,619,30
10,620,231
10,621,580
10,622,38
10,623,4617
10,624,125
10,625,1467
10,626,16
10,627,490
10,628,125
10,629,993
10,630,1317
10,631,489
10,632,70
10,633,252
10,634,951
10,635,44
10,636,123
10,637,344
10,638,20415
10,639,26176
10,640,1889
10,641,4842
10,642,1596
10,643,2147
10,644,220
10,645,17464
10,646,1667
10,647,15
10,648,378
10,649,43
10,650,511
10,651,1215
10,652,16
10,653,988
10,654,72
10,655,45
10,656,263
10,657,205
10,658,185
10,659,10
10,660,1558
10,661,479
10,662,52
10,663,66914
10,664,6637
10,665,115
10,666,127
10,667,5
10,668,382
10,669,231
10,670,650
10,671,1614
10,672,72
10,673,91
10,674,156
10,675,1821
10,676,24796
10,677,57
10,678,90
10,679,1194
10,680,126
10,681,104
10,682,3716
10,683,181
10,684,64
10,685,17048
10,686,218
10,687,352
10,688,23
10,689,42
10,690,2013
10,691,160
10,692,47
10,693,833
10,694,23
10,695,29
10,696,72
10,697,1283
10,698,1865
10,699,8324
10,700,505
10,701,132
10,702,15
10,703,128
10,704,970
10,705,80
10,706,53
10,707,19
10,708,775
10,709,255
10,710,138
10,711,98
10,712,157
10,713,747
10,714,863
10,715,382
10,716,212
10,717,1117
10,718,364
10,719,14204
10,720,284677
10,721,131
10,722,130
10,723,25
10,724,1430
10,725,8138
10,726,14
10,727,213
10,728,5
10,729,37
10,730,14
10,731,32
10,732,3514
10,733,443
10,734,1386
10,735,837
10,736,7446
10,737,35
10,738,472
10,739,153
10,740,449
10,741,10
10,742,12
10,743,18
10,744,1360
10,745,14
10,746,5569
10,747,23546
10,748,1434
10,749,160
10,750,27
10,751,47
10,752,799
10,753,16
10,754,95
10,755,443
10,756,34
10,757,209
10,758,32
10,759,90
10,760,316061
10,761,1070
10,762,252
10,763,22
10,764,15
10,765,115
10,766,3169
10,767,3966
10,768,9817
10,769,1126
10,770,271
10,771,4354
10,772,31
10,773,1809
10,774,686
10,775,315
10,776,254
10,777,62
10,778,16
10,779,82
10,780,1805
10,781,6536
10,782,400
10,783,511
10,784,10715
10,785,317
10,786,2299
10,787,184
10,788,77
10,789,5
10,790,72
10,791,187
10,792,3783
10,793,496
10,794,238
10,795,104683517
10,796,103573
10,797,879
10,798,46140
10,799,71
10,800,12592
10,801,27
10,802,3852
10,803,640
10,804,3966
10,805,55
10,806,163
10,807,48
10,808,4297
10,809,461
10,810,2506
10,811,65
10,812,28215
