Type,Event ,Record ,Athlete ,Nation ,Date ,Meet ,Place ,
,55 kg ,,,,,,,
Men,Snatch ,135 kg ,World Standard ,,,,,
Men,Clean & Jerk ,166 kg ,Om Yun-chol , North Korea ,18 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,Total ,294 kg ,Om Yun-chol , North Korea ,18 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,61 kg ,,,,,,,
Men,Snatch ,145 kg ,Li Fabin , China ,19 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,Clean & Jerk ,174 kg ,Eko Yuli Irawan , Indonesia ,3 November 2018 ,World Championships ,"  Ashgabat, Turkmenistan ",
Men,Total ,318 kg ,Li Fabin , China ,19 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,67 kg ,,,,,,,
Men,Snatch ,155 kg ,Huang Minhao , China ,6 July 2019 ,Olympics Test Event ,"  Tokyo, Japan ",
Men,Clean & Jerk ,188 kg ,Pak Jong-ju , North Korea ,20 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,Total ,339 kg ,Chen Lijun , China ,21 April 2019 ,Asian Championships ,"  Ningbo, China ",
Men,73 kg ,,,,,,,
Men,Snatch ,169 kg ,Shi Zhiyong , China ,20 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Men,Clean & Jerk ,198 kg ,Shi Zhiyong , China ,10 December 2019 ,World Cup ,"  Tianjin, China ",
Men,Total ,364 kg ,Shi Zhiyong , China ,28 July 2021 ,Olympic Games ,"  Tokyo, Japan ",
Men,81 kg ,,,,,,,
Men,Snatch ,175 kg ,Li Dayin , China ,21 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Men,Clean & Jerk ,208 kg ,Karlos Nasar , Bulgaria ,12 December 2021 ,World Championships ,"  Tashkent, Uzbekistan ",
Men,Total ,378 kg ,Lü Xiaojun , China ,22 September 2019 ,World Championships ,"  Pattaya, Thailand ",
Men,89 kg ,,,,,,,
Men,Snatch ,179 kg ,World Standard ,,,,,
Men,Clean & Jerk ,217 kg ,Antonino Pizzolato , Italy ,2 June 2022 ,European Championships ,"  Tirana, Albania ",
Men,Total ,392 kg ,Antonino Pizzolato , Italy ,2 June 2022 ,European Championships ,"  Tirana, Albania ",
Men,96 kg ,,,,,,,
Men,Snatch ,187 kg ,Lesman Paredes , Colombia ,14 December 2021 ,World Championships ,"  Tashkent, Uzbekistan ",
Men,Clean & Jerk ,231 kg ,Tian Tao , China ,7 July 2019 ,Olympics Test Event ,"  Tokyo, Japan ",
Men,Total ,416 kg ,Sohrab Moradi , Iran ,7 November 2018 ,World Championships ,"  Ashgabat, Turkmenistan ",
Men,102 kg ,,,,,,,
Men,Snatch ,191 kg ,World Standard ,,,,,
Men,Clean & Jerk ,231 kg ,World Standard ,,,,,
Men,Total ,412 kg ,World Standard ,,,,,
Men,109 kg ,,,,,,,
Men,Snatch ,200 kg ,Yang Zhe , China ,24 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Men,Clean & Jerk ,241 kg ,Ruslan Nurudinov , Uzbekistan ,24 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Men,Total ,435 kg ,Simon Martirosyan , Armenia ,9 November 2018 ,World Championships ,"  Ashgabat, Turkmenistan ",
Men,+109 kg ,,,,,,,
Men,Snatch ,225 kg ,Lasha Talakhadze , Georgia ,17 December 2021 ,World Championships ,"  Tashkent, Uzbekistan ",
Men,Clean & Jerk ,267 kg ,Lasha Talakhadze , Georgia ,17 December 2021 ,World Championships ,"  Tashkent, Uzbekistan ",
Men,Total ,492 kg ,Lasha Talakhadze , Georgia ,17 December 2021 ,World Championships ,"  Tashkent, Uzbekistan ",
Women,45 kg ,,,,,,,
Women,Snatch ,85 kg ,World Standard ,,,,,
Women,Clean & Jerk ,108 kg ,World Standard ,,,,,
Women,Total ,191 kg ,World Standard ,,,,,
Women,49 kg ,,,,,,,
Women,Snatch ,96 kg ,Hou Zhihui , China ,17 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,Clean & Jerk ,119 kg ,Saikhom Mirabai Chanu , India ,17 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,Total ,213 kg ,Hou Zhihui , China ,17 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,55 kg ,,,,,,,
Women,Snatch ,102 kg ,Li Yajun , China ,3 November 2018 ,World Championships ,"  Ashgabat, Turkmenistan ",[14] 
Women,Clean & Jerk ,129 kg ,Liao Qiuyun , China ,20 September 2019 ,World Championships ,"  Pattaya, Thailand ",[3] 
Women,Total ,227 kg ,Liao Qiuyun , China ,20 September 2019 ,World Championships ,"  Pattaya, Thailand ",[3] 
Women,59 kg ,,,,,,,
Women,Snatch ,110 kg ,Kuo Hsing-chun , Chinese Taipei ,19 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,Clean & Jerk ,140 kg ,Kuo Hsing-chun , Chinese Taipei ,21 September 2019 ,World Championships ,"  Pattaya, Thailand ",[3] 
